"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","6.711888309","7.250602577","8.430216188","8.886770692","9.363725187","9.569002556","10.73274333","11.24293452","11.73458469","12.22455779","12.72381802","13.22440432","14.02414062","14.88043084","15.37040055","15.74564485","15.81421654","16.1810306","16.87593587","17.40257692","17.5395196","17.5664722","17.35638796","17.17609665","16.97417055","16.83393177","16.9624408","17.482749","18.27692469","18.88523018","19.50626894","19.95383425","20.79288562","21.00273478","20.23752014","20.10322802","20.03918776","20.02747716","19.93703695","19.81958041","19.153997","18.55040503","17.56755004","16.84901802","16.00973835","15.238729","14.98122161",
"Samoa Americana","ASM","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","","","","","","","","13.00647496","12.52211787","12.18298051","11.8495361","11.52325271","11.20395873","10.89104464","10.58589699","11.50194487","11.22632266","11.98130916","15.6329386","18.16860465","18.35171626","18.34862385","18.17265825","18.02024628","17.71017814","17.60604499","21.58116727","24.15559414","18.48981705","17.96758408","18.16466972","18.29793972","18.44560321","18.60764703","18.78409132","18.96080219","","18.62509545","18.86970469","18.95934274","19.46737268","","","","21.13226686","21.65017645","",
"Antigua y Barbuda","ATG","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","","","","","2.634923587","2.64892","2.64892","2.64892","2.64892","2.967127352","2.96921394","","","","","5.378326879","6.132053778","7.644324853","8.867537713","10.76128397","12.36246755","14.76232654","17.19233534","20.42868816","25.23370389","21.48222648","26.01339334","29.17945135","36.20586832","37.85198398","40.11576263","43.52832149","46.8500248","49.44392517","51.02924522","48.89326248","49.28557549","48.67177293","48.1372164","45.67479247","46.35581487","46.21049551","45.64509736","44.18340549","42.38520334","40.91365057","37.82079066","37.43968722","22.31722623","22.23704692","24.84872576","26.33918283","","29.3108689","29.13752914","",
"Australia","AUS","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","15.18442454","15.2505","15.2505","15.2505","15.2505","17.69453112","17.7669","17.7669","17.7669","17.7669","21.46877889","21.1365","21.1365","21.1365","21.1365","25.48453379","26.35689573","27.52694657","29.01921828","30.64260684","32.24913748","33.95394738","35.31391649","36.34947263","37.55321424","39.19270007","40.60296401","41.92260663","42.91171865","44.17553136","45.67625311","46.58669988","47.28416956","48.43600755","49.70373206","49.43620782","50.35184519","50.78692576","51.28572617","51.91243054","52.84477628","52.26478211","53.39948297","53.09914478","52.04502311","50.16921949","48.56591308","46.85363443","44.09853165","49.43933057","48.25341266","47.29160407","46.06835354","44.78235387","39.15707223","35.68394536","35.04754832","34.40376206","32.8272729","24.45067805","21.81530531","17.74616799",
"Austria","AUT","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","6.085344139","6.06451","6.06451","6.06451","6.06451","9.009767413","8.96627","8.96627","8.96627","8.96627","12.98005438","12.8921","12.8921","12.8921","12.8921","19.8629365","21.45828835","23.0890476","24.93304123","26.93613936","29.0292415","30.70186336","32.20946922","33.70645486","34.93843141","36.09293645","37.2452046","38.38602923","39.5756063","40.72259843","41.97518886","43.11932816","44.2108704","45.28493495","46.52337983","47.77599828","49.02714123","49.82243837","50.25162171","49.2906353","49.89745866","49.71624302","48.06292666","47.7456939","46.76170025","45.44772758","43.60308828","41.07431207","39.47780182","38.99106981","40.6321832","40.37563161","40.09663051","39.3181752","41.17567077","41.76954583","40.83105715","42.18473075","42.25259804","41.91613907","42.51032553","42.68856753",
"Azerbaiyán","AZE","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","3.544296619","3.819679253","4.414826951","4.670913225","5.081617123","5.326598841","6.025470126","6.242841668","6.447736522","6.639886774","6.82035193","7.133557023","7.430581892","7.698503998","8.02844082","8.346980197","8.226691891","8.115564168","8.015263872","8.121282863","8.106290395","8.114979529","8.228636228","8.459045881","9.010732647","9.782259265","10.44189324","11.06051067","11.12420444","11.84409275","12.6405966","13.4306568","14.11626472","14.56160297","15.36356527","16.30997135","17.99202352","18.17500592","18.28341591","18.43020033","18.20885732","17.04281008","16.76328023","16.56147113","16.35152339","16.06899245","15.9439666",
"Burundi","BDI","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","0.044898648","0.0452433","0.0452433","0.0452433","0.0452433","0.057178242","0.0574866","0.0574866","0.0574866","0.0574866","0.072014749","0.067869364","","","","","0.04453606","0.047802477","0.051412185","0.078682138","0.107315567","0.131522941","0.137792161","0.139344138","0.142657839","0.144972623","0.182954686","0.224409007","0.279916907","0.282614517","0.290841583","0.255981487","0.267848913","0.295741416","0.307321146","0.317074795","0.317721327","0.332143269","0.348280664","0.389635778","0.37624136","0.364133039","0.358733828","0.367366508","0.357327962","0.383187354","0.317373598","0.177571714","0.209397869","0.206471479","0.202980326","0.179211338","0.209840929","0.215861665","0.176305563","0.149751731","0.127286502",
"Bélgica","BEL","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","8.55511705","8.50039","8.50039","8.50039","8.50039","11.15554806","11.1179","11.1179","11.1179","11.1179","13.95252403","13.9485","13.9485","13.9485","13.9485","18.94784927","19.85974985","20.94749291","22.22402264","23.60880265","24.84481105","26.28214375","27.61502036","28.562052","29.62410873","30.69083108","32.63774656","34.01127773","35.5428693","37.35108688","39.28515918","41.01374077","42.57336553","43.76552833","45.12251343","46.37933798","45.67400918","46.95514626","47.66632857","48.98799126","49.06716865","49.77753972","47.62268955","46.86350943","45.91550896","45.58898003","44.67363856","45.4984167","44.13761863","42.9212684","42.6530891","42.29975478","42.01543993","41.30769917","40.55280783","39.90566933","38.62435578","37.61097774","35.87220651","34.14609948","31.44145731","28.36362822",
"Benin","BEN","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","0.086614411","0.0894876","0.0894876","0.0894876","0.0894876","0.084069152","0.0873742","0.0873742","0.0873742","0.0873742","0.115762063","0.120178","0.120178","0.120178","0.120178","0.15724969","0.169376958","0.179644231","0.193350045","0.206087567","0.222095344","0.238712046","0.238753902","0.238521826","0.246466981","0.246224052","0.264381236","0.281181465","0.281396069","0.285881824","0.287878257","0.283598518","0.288762203","0.357664785","0.404244594","0.466483972","0.526752699","0.570735112","0.582517223","0.643079144","0.737979855","0.822208418","0.843256591","0.868379603","0.922015354","0.935858127","0.920449797","1.28085192","1.294441153","1.386195758","1.412567187","1.570111388","1.564946868","1.546679368","1.843286628","1.78057117","1.109076885","0.489679116","0.406241419","0.292235171","0.256155065","0.088428813",
"Burkina Faso","BFA","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","","","","","0.02673003","0.0266686","0.0266686","0.0266686","0.0266686","0.039097856","0.041468865","0.062338611","0.0608108","","","0.093630724","0.09806309","0.099426597","0.100587295","0.099634248","0.116742227","0.137000658","0.14778871","0.162935568","0.177224422","0.19053794","0.206114358","0.222284891","0.260899139","0.290179076","0.320632018","0.332723002","0.367982932","0.410437234","0.447845675","0.473772393","0.490078227","0.511404279","0.633832707","0.657179053","0.661891577","0.79111889","0.974850827","0.974190324","0.893245545","0.852448151","0.825991666","0.779189277","0.68572418","0.40108411","0.392866633","0.383144505","0.376408781","0.359356134","0.348651693","0.368196766",
